clean_description,genre_list
group intergalactic criminals forced work together stop fanatical warrior taking control universe,"['Action', 'Adventure', 'Sci-Fi']"
following clues origin mankind team finds structure distant moon soon realize alone,"['Adventure', 'Mystery', 'Sci-Fi']"
three girls kidnapped man diagnosed distinct personalities must try escape apparent emergence frightful new th,"['Horror', 'Thriller']"
city humanoid animals hustling theater impresarios attempt save theater singing competition becomes grander anticipates even finalists find lives never,"['Animation', 'Comedy', 'Family']"
secret government agency recruits dangerous incarcerated supervillains form defensive task force first mission save world apocalypse,"['Action', 'Adventure', 'Fantasy']"
european mercenaries searching black powder become embroiled defense great wall china horde monstrous creatures,"['Action', 'Adventure', 'Fantasy']"
jazz pianist falls aspiring actress los angeles,"['Comedy', 'Drama', 'Music']"
hasbeen actor best known playing title character detective series mindhorn must work police serial killer says speak detective mindhorn believes real person,['Comedy']
truelife drama centering british explorer col percival fawcett disappeared searching mysterious city amazon,"['Action', 'Adventure', 'Biography']"
spacecraft traveling distant colony planet transporting thousands people malfunction sleep chambers result two passengers awakened years early,"['Adventure', 'Drama', 'Romance']"
adventures writer newt scamander new yorks secret community witches wizards seventy years harry potter reads book school,"['Adventure', 'Family', 'Fantasy']"
story team female africanamerican mathematicians served vital role nasa early years us space program,"['Biography', 'Drama', 'History']"
rebel alliance makes risky move steal plans death star setting epic saga follow,"['Action', 'Adventure', 'Sci-Fi']"
ancient polynesia terrible curse incurred demigod maui reaches impetuous chieftains daughters island answers oceans call seek demigod set things right,"['Animation', 'Adventure', 'Comedy']"
gloria outofwork party girl forced leave life new york city move back home reports surface giant creature destroying seoul gradually comes realization somehow connected phenomenon,"['Action', 'Comedy', 'Drama']"
quiet life terrier named max upended owner takes duke stray max instantly dislikes,"['Animation', 'Adventure', 'Comedy']"
wwii american army medic desmond doss served battle okinawa refuses kill people becomes first man american history receive medal honor without firing shot,"['Biography', 'Drama', 'History']"
cias dangerous former operative drawn hiding uncover explosive truths past,"['Action', 'Thriller']"
fiveyearold indian boy gets lost streets calcutta thousands kilometers home survives many challenges adopted couple australia years later sets find lost family,"['Biography', 'Drama']"
twelve mysterious spacecraft appear around world linguistics professor louise banks tasked interpreting language apparent alien visitors,"['Drama', 'Mystery', 'Sci-Fi']"
kenny wells prospector desperate lucky break teams similarly eager geologist sets journey find gold uncharted jungle indonesia,"['Adventure', 'Drama', 'Thriller']"
depressed uncle asked take care teenage nephew boys father dies,['Drama']
coldblooded predatory couple cruising streets search next victim stumble upon yearold high school girl sedated abducted chained strangers guest room,"['Crime', 'Drama', 'Horror']"
bergens invade troll village poppy happiest troll ever born curmudgeonly branch set journey rescue friends,"['Animation', 'Adventure', 'Comedy']"
two decades first independence day invasion earth faced new extrasolar threat mankinds new space defenses enough,"['Action', 'Adventure', 'Sci-Fi']"
fiona visits paris first time assist myopic aunt martha catastrophes ensue mainly involving dom homeless man yet emotion thought afraid expressing,['Comedy']
ancient india adventurous daring man becomes involved decades old feud two warring people,"['Action', 'Adventure', 'Drama']"
young woman must save friends ancient evil stalks victims reallife phenomenon sleep paralysis,"['Horror', 'Thriller']"
three overworked underappreciated moms pushed beyond limits ditch conventional responsibilities jolt long overdue freedom fun comedic selfindulgence,['Comedy']
callum lynch explores memories ancestor aguilar gains skills master assassin discovers descendant secret assassins society,"['Action', 'Adventure', 'Drama']"
holiday gathering threatens go rails ned fleming realizes daughters silicon valley millionaire boyfriend pop question,['Comedy']
wealthy art gallery owner haunted exhusbands novel violent thriller interprets symbolic revenge tale,"['Drama', 'Thriller']"
reemergence worlds first mutant worlddestroyer apocalypse xmen must unite defeat extinction level plan,"['Action', 'Adventure', 'Sci-Fi']"
fasttalking mercenary morbid sense humor subjected rogue experiment leaves accelerated healing powers quest revenge,"['Action', 'Adventure', 'Comedy']"
alice returns nightmare began hive raccoon city umbrella corporation gathering forces final strike remaining survivors apocalypse,"['Action', 'Horror', 'Sci-Fi']"
political interference avengers activities causes rift former allies captain america iron man,"['Action', 'Adventure', 'Sci-Fi']"
team explorers travel wormhole space attempt ensure humanitys survival,"['Adventure', 'Drama', 'Sci-Fi']"
